peptide,vial_size,source_url,scraped_at,category,citation,description,url
BPC-157,10 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-10-mg-vial-dosage-protocol/,2026-08-06T04:25:15+00:00,References,Subcutaneous Drug Injection Review (PMC),Pharmacologic considerations of the subcutaneous route,https://pmc.ncbi.nlm.nih.gov/articles/PMC6822791/
BPC-157,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-5-mg-vial-dosage-protocol/,2026-08-06T04:25:11+00:00,References,Journal of Pharmacological Sciences,Klicek R et al. BPC-157 promotes colocutaneous fistula healing via NO-system modulation (rat model),https://www.jstage.jst.go.jp/article/jphs/108/1/108_FP0072161/_article
BPC-157,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-5-mg-vial-dosage-protocol/,2026-08-06T04:25:11+00:00,References,Pharmaceuticals (MDPI),Józwiak M et al. Multifunctionality and possible medical application of BPC-157: literature and patent review (2025),https://www.mdpi.com/1424-8247/18/2/185
BPC-157,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-5-mg-vial-dosage-protocol/,2026-08-06T04:25:11+00:00,References,Current Pharmaceutical Design (PMC),Sikiric P et al. BPC-157 stable gastric pentadecapeptide: novel therapy for wound healing and tissue repair,https://pmc.ncbi.nlm.nih.gov/articles/PMC5333585/
BPC-157,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-5-mg-vial-dosage-protocol/,2026-08-06T04:25:11+00:00,References,Life Sciences,Seiwerth S et al. BPC-157 and standard angiogenic growth factors: gastrointestinal tract healing and beyond,https://pubmed.ncbi.nlm.nih.gov/29990514/
BPC-157,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-5-mg-vial-dosage-protocol/,2026-08-06T04:25:11+00:00,References,HSS Journal (PubMed),Vasireddi N et al. Emerging use of BPC-157 in orthopaedic sports medicine: systematic review (2025),https://pubmed.ncbi.nlm.nih.gov/40756949/
BPC-157,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-5-mg-vial-dosage-protocol/,2026-08-06T04:25:11+00:00,References,Journal of Orthopaedic Research,Chang CH et al. BPC-157 promotes tendon-to-bone healing in a rat rotator cuff model,https://pubmed.ncbi.nlm.nih.gov/32710582/
BPC-157,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-5-mg-vial-dosage-protocol/,2026-08-06T04:25:11+00:00,References,WHO (NCBI Bookshelf),"Guideline on safety-engineered syringes for IM, ID, and SC injections in health care settings (2016)",https://www.ncbi.nlm.nih.gov/books/NBK390474/
BPC-157,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-5-mg-vial-dosage-protocol/,2026-08-06T04:25:11+00:00,References,Johns Hopkins Arthritis Center,How to give a subcutaneous injection (patient education resource),https://www.hopkinsarthritis.org/patient-corner/how-to-give-a-subcutaneous-injection/
BPC-157,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-5-mg-vial-dosage-protocol/,2026-08-06T04:25:11+00:00,References,ClinicalTrials.gov,NCT02637284: PCO-02 Phase I safety and pharmacokinetics trial of oral BPC-157,https://clinicaltrials.gov/ct2/show/NCT02637284
BPC-157,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-5-mg-vial-dosage-protocol/,2026-08-06T04:25:11+00:00,References,CDC,Vaccine administration: subcutaneous route (angle/site; no aspiration),https://www.cdc.gov/vaccines/hcp/admin/downloads/YCTS-VaxAdmin-Subcut-injection.pdf
BPC-157,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/bpc-157-5-mg-vial-dosage-protocol/,2026-08-06T04:25:11+00:00,References,Subcutaneous Drug Injection Review (PMC),Pharmacologic considerations of the subcutaneous route,https://pmc.ncbi.nlm.nih.gov/articles/PMC6822791/
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,Research References,"Mulder GD, et al. Wound Repair and Regeneration.",Human diabetic-ulcer study of topical glycyl-L-histidyl-L-lysine copper.,https://pubmed.ncbi.nlm.nih.gov/17147644/
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,Research References,"Miller TR, et al. Archives of Facial Plastic Surgery. 2006.",Topical copper tripeptide complex after carbon-dioxide laser resurfacing.,https://pubmed.ncbi.nlm.nih.gov/16847171/
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,Research References,"Abdulghani AA, et al. 1998.",Comparative topical-cream study including a copper-binding peptide preparation.,https://doi.org/10.1016/S1088-3371(98)00011-4
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,Research References,"Badenhorst T, et al. 2016.","Split-face GHK-Cu nano-serum study of collagen, elastin, and wrinkle-related outcomes.",https://doi.org/10.4172/2329-8847.1000166
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,Research References,"Hostynek JJ, et al. Inflammation Research. 2010.",Final human-skin penetration paper for a GHK-Cu preparation.,https://pmc.ncbi.nlm.nih.gov/articles/PMC2945467/
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,Research References,"Maquart FX, et al. Journal of Clinical Investigation. 1993.",Local GHK-Cu exposure in a rat wound-chamber model.,https://pubmed.ncbi.nlm.nih.gov/8227353/
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,Research References,"Pickart L, Margolina A. International Journal of Molecular Sciences. 2018.",Review of regenerative and gene-expression research involving GHK-Cu.,https://pmc.ncbi.nlm.nih.gov/articles/PMC6073405/
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,Research References,"Maquart FX, et al. 2000.",GHK-related modulation of matrix metalloproteinase-2 expression.,https://pubmed.ncbi.nlm.nih.gov/11045606/
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,Research References,ClinicalTrials.gov. NCT07437586.,Ongoing Phase 2 study of topical GHK-Cu gel for acute skin-wound healing.,https://clinicaltrials.gov/study/NCT07437586
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,Research References,U.S. Food and Drug Administration.,Compounding safety-risk information that includes injectable GHK-Cu.,https://www.fda.gov/drugs/human-drug-compounding/certain-bulk-drug-substances-use-compounding-may-present-significant-safety-risks
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,Research References,U.S. Food and Drug Administration. 503A Categories Update.,Route-specific bulk-substance evaluation context for GHK-Cu.,https://www.fda.gov/media/94155/download?attachment=
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,Research References,U.S. Food and Drug Administration. 510(k) K953853.,Iamin Gel topical wound-dressing device record.,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K953853
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,Additional Technical and Protocol Sources,GenScript.,General peptide storage and handling guidance.,https://www.genscript.com/peptide_storage_and_handling.html
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,Additional Technical and Protocol Sources,Tocris Bioscience.,General stability and storage guidance for laboratory materials.,https://www.tocris.com/support/stability-and-storage
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,Additional Technical and Protocol Sources,Roswell Park Comprehensive Cancer Center.,"General self-injection preparation, site rotation, and disposal guidance.",https://www.roswellpark.org/cancertalk/202110/giving-yourself-injection
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,Additional Technical and Protocol Sources,Centers for Disease Control and Prevention.,Current subcutaneous injection technique job aid.,https://www.cdc.gov/vaccines/hcp/admin/downloads/YCTS-VaxAdmin-Subcut-injection.pdf
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,Additional Technical and Protocol Sources,"World Health Organization, NCBI Bookshelf.",Best practices for injections and related procedures.,https://www.ncbi.nlm.nih.gov/books/NBK138495/
GHK-Cu,100 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-100-mg-vial-dosage-protocol/,2026-08-06T04:25:06+00:00,Additional Technical and Protocol Sources,Salhab Pharmacy.,Practice-convention source for commonly published GHK-Cu schedules. This is not a controlled human dose-ranging trial.,https://www.salhabpharmacy.com/ghk-cu-injection/
GHK-Cu,50 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-50-mg-vial-dosage-protocol/,2026-08-06T04:25:02+00:00,Research References,"Mulder GD, et al. Wound Repair and Regeneration.",Human diabetic-ulcer study of topical glycyl-L-histidyl-L-lysine copper.,https://pubmed.ncbi.nlm.nih.gov/17147644/
GHK-Cu,50 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-50-mg-vial-dosage-protocol/,2026-08-06T04:25:02+00:00,Research References,"Miller TR, et al. Archives of Facial Plastic Surgery. 2006.",Topical copper tripeptide complex after carbon-dioxide laser resurfacing.,https://pubmed.ncbi.nlm.nih.gov/16847171/
GHK-Cu,50 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-50-mg-vial-dosage-protocol/,2026-08-06T04:25:02+00:00,Research References,"Abdulghani AA, et al. 1998.",Comparative topical-cream study including a copper-binding peptide preparation.,https://doi.org/10.1016/S1088-3371(98)00011-4
GHK-Cu,50 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-50-mg-vial-dosage-protocol/,2026-08-06T04:25:02+00:00,Research References,"Badenhorst T, et al. 2016.","Split-face GHK-Cu nano-serum study of collagen, elastin, and wrinkle-related outcomes.",https://doi.org/10.4172/2329-8847.1000166
GHK-Cu,50 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-50-mg-vial-dosage-protocol/,2026-08-06T04:25:02+00:00,Research References,"Hostynek JJ, et al. Inflammation Research. 2010.",Final human-skin penetration paper for a GHK-Cu preparation.,https://pmc.ncbi.nlm.nih.gov/articles/PMC2945467/
GHK-Cu,50 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-50-mg-vial-dosage-protocol/,2026-08-06T04:25:02+00:00,Research References,"Maquart FX, et al. Journal of Clinical Investigation. 1993.",Local GHK-Cu exposure in a rat wound-chamber model.,https://pubmed.ncbi.nlm.nih.gov/8227353/
GHK-Cu,50 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-50-mg-vial-dosage-protocol/,2026-08-06T04:25:02+00:00,Research References,"Pickart L, Margolina A. International Journal of Molecular Sciences. 2018.",Review of regenerative and gene-expression research involving GHK-Cu.,https://pmc.ncbi.nlm.nih.gov/articles/PMC6073405/
GHK-Cu,50 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-50-mg-vial-dosage-protocol/,2026-08-06T04:25:02+00:00,Research References,"Maquart FX, et al. 2000.",GHK-related modulation of matrix metalloproteinase-2 expression.,https://pubmed.ncbi.nlm.nih.gov/11045606/
GHK-Cu,50 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-50-mg-vial-dosage-protocol/,2026-08-06T04:25:02+00:00,Research References,ClinicalTrials.gov. NCT07437586.,Ongoing Phase 2 study of topical GHK-Cu gel for acute skin-wound healing.,https://clinicaltrials.gov/study/NCT07437586
GHK-Cu,50 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-50-mg-vial-dosage-protocol/,2026-08-06T04:25:02+00:00,Research References,U.S. Food and Drug Administration.,Compounding safety-risk information that includes injectable GHK-Cu.,https://www.fda.gov/drugs/human-drug-compounding/certain-bulk-drug-substances-use-compounding-may-present-significant-safety-risks
GHK-Cu,50 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-50-mg-vial-dosage-protocol/,2026-08-06T04:25:02+00:00,Research References,U.S. Food and Drug Administration. 503A Categories Update.,Route-specific bulk-substance evaluation context for GHK-Cu.,https://www.fda.gov/media/94155/download?attachment=
GHK-Cu,50 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-50-mg-vial-dosage-protocol/,2026-08-06T04:25:02+00:00,Research References,U.S. Food and Drug Administration. 510(k) K953853.,Iamin Gel topical wound-dressing device record.,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K953853
GHK-Cu,50 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-50-mg-vial-dosage-protocol/,2026-08-06T04:25:02+00:00,Additional Technical and Protocol Sources,GenScript.,General peptide storage and handling guidance.,https://www.genscript.com/peptide_storage_and_handling.html
GHK-Cu,50 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-50-mg-vial-dosage-protocol/,2026-08-06T04:25:02+00:00,Additional Technical and Protocol Sources,Tocris Bioscience.,General stability and storage guidance for laboratory materials.,https://www.tocris.com/support/stability-and-storage
GHK-Cu,50 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-50-mg-vial-dosage-protocol/,2026-08-06T04:25:02+00:00,Additional Technical and Protocol Sources,Roswell Park Comprehensive Cancer Center.,"General self-injection preparation, site rotation, and disposal guidance.",https://www.roswellpark.org/cancertalk/202110/giving-yourself-injection
GHK-Cu,50 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-50-mg-vial-dosage-protocol/,2026-08-06T04:25:02+00:00,Additional Technical and Protocol Sources,Centers for Disease Control and Prevention.,Current subcutaneous injection technique job aid.,https://www.cdc.gov/vaccines/hcp/admin/downloads/YCTS-VaxAdmin-Subcut-injection.pdf
GHK-Cu,50 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-50-mg-vial-dosage-protocol/,2026-08-06T04:25:02+00:00,Additional Technical and Protocol Sources,"World Health Organization, NCBI Bookshelf.",Best practices for injections and related procedures.,https://www.ncbi.nlm.nih.gov/books/NBK138495/
GHK-Cu,50 mg Vial,https://peptidedosages.com/single-peptide-dosages/ghk-cu-50-mg-vial-dosage-protocol/,2026-08-06T04:25:02+00:00,Additional Technical and Protocol Sources,Salhab Pharmacy.,Practice-convention source for commonly published GHK-Cu schedules. This is not a controlled human dose-ranging trial.,https://www.salhabpharmacy.com/ghk-cu-injection/
TB-500,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/tb-500-5-mg-vial-dosage-protocol/,2026-08-06T04:25:19+00:00,References,FASEB Journal,Biological activities of thymosin β4 defined by active peptide sequences (TB‑500 fragment identification),https://pubmed.ncbi.nlm.nih.gov/20179146/
TB-500,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/tb-500-5-mg-vial-dosage-protocol/,2026-08-06T04:25:19+00:00,References,Journal of Chromatography A (PubMed),Doping control analysis of TB‑500 as synthetic thymosin β4 fragment in biological samples,https://pubmed.ncbi.nlm.nih.gov/23084823/
TB-500,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/tb-500-5-mg-vial-dosage-protocol/,2026-08-06T04:25:19+00:00,References,WADA Scientific Research,"Investigation of TB‑500 metabolism, synthesis of metabolites, and detection limits",https://www.wada-ama.org/en/resources/scientific-research/investigation-vitroex-vivo-tb-500-metabolism-synthesis-relevant
TB-500,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/tb-500-5-mg-vial-dosage-protocol/,2026-08-06T04:25:19+00:00,References,Racing Medication & Testing Consortium,Thymosin β4 regulatory bulletin (TB‑500 use in equine sports medicine),https://rmtcnet.com/wp-content/uploads/2013-07-TB-500-Bulletin-v-2.0-Final.pdf
TB-500,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/tb-500-5-mg-vial-dosage-protocol/,2026-08-06T04:25:19+00:00,References,Journal of Investigative Dermatology (PubMed),Thymosin beta4 accelerates wound healing (preclinical wound healing model),https://pubmed.ncbi.nlm.nih.gov/10469335/
TB-500,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/tb-500-5-mg-vial-dosage-protocol/,2026-08-06T04:25:19+00:00,References,FASEB Journal (PubMed),Active site mapping of thymosin β4 fragments for angiogenesis and cell migration,https://pubmed.ncbi.nlm.nih.gov/20179146/
TB-500,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/tb-500-5-mg-vial-dosage-protocol/,2026-08-06T04:25:19+00:00,References,Verified Peptides Storage Guide,"Lyophilized peptide storage best practices (temperature, humidity, light protection)",https://verifiedpeptides.com/knowledge-hub/lyophilized-peptide-storage-temperature-humidity-light/
TB-500,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/tb-500-5-mg-vial-dosage-protocol/,2026-08-06T04:25:19+00:00,References,Empower Pharmacy,"Bacteriostatic water injection guidelines (0.9% benzyl alcohol, multi‑dose vial stability)",https://www.empowerpharmacy.com/compounding-pharmacy/bacteriostatic-water-injection/
TB-500,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/tb-500-5-mg-vial-dosage-protocol/,2026-08-06T04:25:19+00:00,References,NCBI Bookshelf,"Best practices for subcutaneous injection (aseptic technique, site rotation)",https://www.ncbi.nlm.nih.gov/books/NBK138495/
TB-500,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/tb-500-5-mg-vial-dosage-protocol/,2026-08-06T04:25:19+00:00,References,WADA Prohibited List,TB‑500 classification as prohibited substance in competitive sports,https://www.wada-ama.org/en/prohibited-list
TB-500,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/tb-500-5-mg-vial-dosage-protocol/,2026-08-06T04:25:19+00:00,References,Journal of Investigative Dermatology,"Thymosin β4 wound healing mechanisms (collagen deposition, angiogenesis, granulation tissue)",https://pubmed.ncbi.nlm.nih.gov/10469335/
TB-500,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/tb-500-5-mg-vial-dosage-protocol/,2026-08-06T04:25:19+00:00,References,Journal of Chromatography B (PubMed),Quantification of TB‑500 metabolites and wound healing activity screening (prodrug hypothesis),https://pubmed.ncbi.nlm.nih.gov/38382158/
TB-500,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/tb-500-5-mg-vial-dosage-protocol/,2026-08-06T04:25:19+00:00,References,CenterWatch Clinical Trials,Clinical trial registry for thymosin β4 in acute myocardial infarction (no TB‑500 specific trials),https://www.centerwatch.com/clinical-trials/listings/NCT01311518/
TB-500,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/tb-500-5-mg-vial-dosage-protocol/,2026-08-06T04:25:19+00:00,References,Nursing Journal (LWW),How to administer subcutaneous injections (clinical technique guidelines),https://journals.lww.com/nursing/fulltext/2004/06000/how_to_administer_a_subcutaneous_injection.23.aspx
TB-500,5 mg Vial,https://peptidedosages.com/single-peptide-dosages/tb-500-5-mg-vial-dosage-protocol/,2026-08-06T04:25:19+00:00,References,University of Michigan Health,Patient education guide for subcutaneous injection technique,https://www.med.umich.edu/1libr/NursingUnits/Giving_Subcutaneous_Injection.pdf
